,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
92,beringovskiy,63.05,179.3167,-4.77,99,100,8.52,RU,1616138809
94,ciudad bolivar,8.1222,-63.5497,75.06,75,9,12.48,VE,1616138809
95,hobyo,5.3505,48.5268,85.39,63,3,14.23,SO,1616138810
96,wanning,18.8003,110.3967,80.6,73,94,8.61,CN,1616138810
97,tura,25.5198,90.2201,92.23,15,100,6.44,IN,1616138810
98,richards bay,-28.783,32.0377,79.72,71,0,3.38,ZA,1616138651
99,xining,36.6167,101.7667,38.16,66,83,7.9,CN,1616138571
100,esperance,-33.8667,121.9,86,37,0,14.97,AU,1616138811
101,kodiak,57.79,-152.4072,19.4,49,1,10.36,US,1616138812
102,leiyang,26.4024,112.8591,60.49,78,87,8.59,CN,1616138813
103,bom jesus,-9.0744,-44.3586,71.11,93,96,0.49,BR,1616138813
104,mahebourg,-20.4081,57.7,84.2,70,40,10.36,MU,1616138814
105,georgetown,5.4112,100.3354,89.6,51,20,11.5,MY,1616138703
106,hualmay,-11.0964,-77.6139,70.29,78,100,5.3,PE,1616138814
107,cascais,38.6979,-9.4215,53.01,46,0,8.05,PT,1616138815
108,sabzevar,36.2126,57.6819,69.8,40,40,16.82,IR,1616138815
109,port blair,11.6667,92.75,88.92,51,0,7,IN,1616138816
110,the valley,18.217,-63.0578,77,73,75,12.66,AI,1616138786
111,suluq,31.6682,20.2521,62.78,36,99,18.14,LY,1616138816
112,lugovoy,42.9472,72.7644,56.82,49,1,9.53,KZ,1616138817
113,hilo,19.7297,-155.09,68,83,90,5.75,US,1616138817
114,lavrentiya,65.5833,-171,-14.53,98,51,2.24,RU,1616138818
115,mandalgovi,45.7625,106.2708,21.96,80,100,12.86,MN,1616138818
116,vila franca do campo,37.7167,-25.4333,57.2,82,75,6.91,PT,1616138818
117,saskylakh,71.9167,114.0833,-18.8,91,100,13.31,RU,1616138819
118,severo-kurilsk,50.6789,156.125,31.42,95,91,10.92,RU,1616138819
119,beloha,-25.1667,45.05,90.1,43,0,6.89,MG,1616138820
120,belmopan,17.25,-88.7667,73.99,80,8,1.48,BZ,1616138820
121,antofagasta,-23.65,-70.4,62.6,88,0,6.91,CL,1616138821
122,saint-francois,46.4154,3.9054,35.01,93,90,5.75,FR,1616138821
123,high level,58.5169,-117.136,28.4,86,75,2.3,CA,1616138821
124,vardo,70.3705,31.1107,19.4,86,20,18.41,NO,1616138822
125,waitati,-45.75,170.5667,57.99,75,17,7,NZ,1616138822
126,hambantota,6.1241,81.1185,77,100,90,5.75,LK,1616138823
127,souillac,-20.5167,57.5167,84.2,70,40,10.36,MU,1616138823
128,haapiti,-17.5667,-149.8667,82.4,69,75,2.3,PF,1616138824
129,mackay,-21.15,149.2,80.6,78,90,9.22,AU,1616138824
130,oussouye,12.485,-16.5469,68,94,40,4.61,SN,1616138824
131,katsuura,35.1333,140.3,60.8,67,40,13.8,JP,1616138825
132,atuona,-9.8,-139.0333,80.44,79,2,13.22,PF,1616138825
133,mabaruma,8.2,-59.7833,69.66,96,96,2.01,GY,1616138826
134,rio gallegos,-51.6226,-69.2181,46.4,76,0,2.3,AR,1616138826
135,nanakuli,21.3906,-158.1547,69.8,68,90,9.22,US,1616138827
136,jitauna,-14.0189,-39.8889,69.87,97,100,0.83,BR,1616138827
137,flinders,-34.5833,150.8552,70,87,100,5.01,AU,1616138569
139,santa rosa,14.3122,121.1114,91.4,62,40,9.22,PH,1616138828
140,romny,50.751,33.4747,34.54,80,100,5.68,UA,1616138828
141,portland,45.5234,-122.6762,46.4,76,1,10.36,US,1616138567
143,desbiens,48.4178,-71.9495,6.8,66,1,9.22,CA,1616138829
144,te anau,-45.4167,167.7167,54.61,83,0,4.63,NZ,1616138829
145,sibolga,1.7427,98.7792,83.62,78,77,3.65,ID,1616138830
146,pacific grove,36.6177,-121.9166,55,87,100,1.99,US,1616138830
147,yar-sale,66.8333,70.8333,-6.97,94,63,11.52,RU,1616138831
148,lorengau,-2.0226,147.2712,84.24,73,37,5.44,PG,1616138831
149,avarua,-21.2078,-159.775,77,88,20,3.44,CK,1616138832
150,mossendjo,-2.9506,12.7261,71.22,97,100,0.92,CG,1616138833
151,klaksvik,62.2266,-6.589,44.6,100,75,12.66,FO,1616138833
152,kirakira,-10.4544,161.9205,82.44,78,100,5.53,SB,1616138709
153,ha noi,21.0245,105.8412,80.6,74,75,12.66,VN,1616138834
154,brae,60.3964,-1.353,44.6,93,75,8.05,GB,1616138835
155,marevo,57.3146,32.0804,26.73,87,99,5.06,RU,1616138836
156,nikolskoye,59.7035,30.7861,21.99,73,75,11.18,RU,1616138836
157,sydney,-33.8679,151.2073,73.4,68,90,16.11,AU,1616138594
158,cicevac,43.7188,21.4408,41,87,75,2.3,RS,1616138837
159,padang,-0.9492,100.3543,86,70,20,9.22,ID,1616138664
160,maceio,-9.6658,-35.7353,73.4,94,40,2.3,BR,1616138641
161,vostok,46.4856,135.8833,27.88,89,100,5.46,RU,1616138838
162,casas grandes,30.3667,-107.95,50.18,26,0,1.5,MX,1616138838
163,dusti,37.3481,68.664,69.8,40,75,17.9,TJ,1616138838
164,saint-joseph,-21.3667,55.6167,84.99,65,20,24.16,RE,1616138555
165,azare,11.6765,10.1948,81.23,15,37,6.85,NG,1616138839
166,grand-santi,4.25,-54.3833,66.69,99,17,1.54,GF,1616138839
167,vila velha,-20.3297,-40.2925,79,94,0,4.61,BR,1616138840
168,puerto madero,14.7208,-92.4215,78.93,75,0,3.56,MX,1616138840
170,krasnozerskoye,53.9828,79.2374,21.4,88,100,11.92,RU,1616138841
171,dehu,18.7167,73.7667,92.35,18,13,6.22,IN,1616138841
172,karasjok,69.4719,25.5112,19.4,73,100,23.02,NO,1616138842
173,hami,42.8,93.45,41.9,15,0,8.48,CN,1616138842
175,kruisfontein,-34.0033,24.7314,72,67,15,5.01,ZA,1616138843
176,coquimbo,-29.9533,-71.3436,57.2,77,75,2.3,CL,1616138843
177,hithadhoo,-0.6,73.0833,82.51,73,100,10.29,MV,1616138843
179,awbari,26.5921,12.7805,72.5,18,0,14.97,LY,1616138844
180,lagos,6.5833,3.75,73.4,94,20,3.44,NG,1616138844
181,thompson,55.7435,-97.8558,32,59,1,4.61,CA,1616138793
182,yangjiang,21.85,111.9667,80.11,65,84,11.52,CN,1616138845
183,petropavlovsk-kamchatskiy,53.0452,158.6483,39.2,56,75,8.95,RU,1616138626
184,magadan,59.5667,150.8,9.9,71,0,4.52,RU,1616138846
185,kiomboi,-4.2667,34.3667,71.8,61,100,4.63,TZ,1616138846
186,watertown,42.3709,-71.1828,36,69,90,10.36,US,1616138630
187,najran,17.4924,44.1277,84.2,14,0,4.61,SA,1616138847
188,bambous virieux,-20.3428,57.7575,84.2,70,40,10.36,MU,1616138847
189,nome,64.5011,-165.4064,-11.2,70,1,3.44,US,1616138848
190,faanui,-16.4833,-151.75,82.4,66,3,5.08,PF,1616138848
191,cape town,-33.9258,18.4232,66.2,59,20,20.71,ZA,1616138608
192,paita,-5.0892,-81.1144,75.88,75,100,9.17,PE,1616138849
193,wonthaggi,-38.6044,145.5913,75.99,51,4,18.37,AU,1616138849
194,vila,42.0304,-8.1588,41,75,72,15.01,PT,1616138849
195,ixtapa,20.7,-105.2,64.99,94,1,2.71,MX,1616138850
196,saint george,37.1041,-113.5841,55,58,1,5.75,US,1616138710
197,pokhara,28.2333,83.9833,88.56,11,100,6.29,NP,1616138850
198,del rio,29.3627,-100.8968,59,33,1,10.36,US,1616138852
199,asyut,27.181,31.1837,62.6,45,0,5.75,EG,1616138852
200,bethel,41.3712,-73.414,37.4,56,90,16.11,US,1616138853
201,tiksi,71.6872,128.8694,-2.06,98,100,8.21,RU,1616138853
202,namibe,-15.1961,12.1522,72.55,74,78,4.79,AO,1616138853
204,ponta do sol,32.6667,-17.1,60.8,67,20,6.91,PT,1616138854
205,acandi,8.5063,-77.2778,75.25,91,100,1.43,CO,1616138854
206,diamantina,-18.2494,-43.6003,59.11,94,98,3.76,BR,1616138855
207,neryungri,56.6709,124.6491,20.21,81,100,2.42,RU,1616138855
209,le havre,49.4938,0.1077,41,81,40,17.27,FR,1616138856
210,takoradi,4.8845,-1.7554,77.47,81,100,4.34,GH,1616138856
211,tevaitoa,-16.7833,-151.5,82.22,69,15,5.28,PF,1616138857
212,kangaatsiaq,68.3065,-53.4641,10.71,75,100,9.51,GL,1616138857
213,tanggu,39.0211,117.6469,51.8,43,100,2.24,CN,1616138857
214,mogadishu,2.0371,45.3438,86,62,40,12.66,SO,1616138858
215,muros,42.7762,-9.0603,48,71,98,11.99,ES,1616138858
216,quatre cocos,-20.2078,57.7625,84.2,70,40,10.36,MU,1616138859
220,yulara,-25.2406,130.9889,84.2,20,100,17.27,AU,1616138860
221,pangody,65.85,74.4859,8.58,93,99,12.08,RU,1616138860
222,rock springs,41.5875,-109.2029,35.6,64,1,4.16,US,1616138585
223,san cristobal,7.7669,-72.225,65.07,91,9,2.28,VE,1616138861
224,saint-leu,-21.15,55.2833,84.99,65,20,24.16,RE,1616138861
225,berlevag,70.8578,29.0864,19.4,79,100,43.73,NO,1616138861
226,port moresby,-9.4431,147.1797,77,88,75,11.5,PG,1616138764
227,krasnoselkup,65.7,82.4667,14.5,93,100,6.96,RU,1616138862
228,vestmannaeyjar,63.4427,-20.2734,46.62,92,100,21.34,IS,1616138862
229,khoy,38.5504,44.9535,50.09,36,0,13.29,IR,1616138863
231,codrington,-38.2667,141.9667,69.17,71,0,15.01,AU,1616138863
232,matara,5.9485,80.5353,83.89,68,100,2.59,LK,1616138864
233,kawalu,-7.3817,108.2082,83.39,76,99,4.79,ID,1616138864
234,egvekinot,66.3167,-179.1667,-15.52,74,0,5.32,RU,1616138865
235,guiratinga,-16.3494,-53.7583,69.03,98,100,1.81,BR,1616138865
237,dzhebariki-khaya,62.2167,135.8,4.89,78,56,3.06,RU,1616138866
238,bireun,5.203,96.7009,85.01,68,23,7.05,ID,1616138866
239,tukrah,32.5341,20.5791,63.66,49,6,7.7,LY,1616138867
240,narsaq,60.9167,-46.05,24.8,50,20,6.91,GL,1616138867
241,zhigansk,66.7697,123.3711,19.09,90,100,10.51,RU,1616138867
242,anchorage,61.2181,-149.9003,17.6,41,1,6.91,US,1616138868
243,zlynka,52.4267,31.7378,34,93,40,11.18,RU,1616138868
244,kapaa,22.0752,-159.319,69.8,78,90,20.71,US,1616138869
245,oktyabrskoye,43.0645,44.7417,48.2,57,96,17.9,RU,1616138869
246,kaeo,-35.1,173.7833,63,76,0,7,NZ,1616138869
247,poronaysk,49.2167,143.1167,27.39,74,100,13.62,RU,1616138870
248,sao jose da coroa grande,-8.8978,-35.1478,76.8,85,37,6.46,BR,1616138870
249,tuktoyaktuk,69.4541,-133.0374,-15.79,100,99,9.19,CA,1616138871
250,kuusamo,65.9667,29.1833,3.2,85,0,10.36,FI,1616138871
251,los llanos de aridane,28.6585,-17.9182,62.6,42,0,6.91,ES,1616138871
252,port augusta,-32.5,137.7667,82.4,44,96,12.66,AU,1616138872
253,normandin,48.8333,-72.5321,5,72,18,9.22,CA,1616138872
255,laishevo,55.4046,49.5504,28.4,80,75,8.95,RU,1616138873
256,san patricio,28.017,-97.5169,57.99,54,1,11.5,US,1616138873
257,chapleau,47.8405,-83.4034,16.12,89,0,4.14,CA,1616138874
258,saint-pierre,-21.3393,55.4781,84.99,65,20,24.16,RE,1616138874
259,cairns,-16.9167,145.7667,84.2,65,90,4.61,AU,1616138875
260,coos bay,43.3665,-124.2179,48,81,75,9.22,US,1616138700
261,presque isle,46.6811,-68.0159,12.2,62,1,20.71,US,1616138875
262,talnakh,69.4865,88.3972,-12.77,93,100,4.81,RU,1616138876
264,ukiah,39.1502,-123.2078,48,93,90,3.44,US,1616138817
265,chimbote,-9.0853,-78.5783,71.69,77,100,6.17,PE,1616138876
266,provideniya,64.3833,-173.3,-4,65,0,6.71,RU,1616138877
267,nabire,-3.3667,135.4833,83.88,73,100,3.4,ID,1616138877
268,heilbron,-27.2812,27.9709,68.52,37,0,3.74,ZA,1616138878
269,paciran,-6.8767,112.3761,85.73,73,0,11.63,ID,1616138878
270,mount gambier,-37.8333,140.7667,75.2,57,0,14.97,AU,1616138592
271,kaitangata,-46.2817,169.8464,57.99,63,75,4,NZ,1616138879
272,grand gaube,-20.0064,57.6608,84,64,0,5.99,MU,1616138879
273,plotnikovo,55.0247,85.9436,21.2,68,0,11.18,RU,1616138880
274,ostrovnoy,68.0531,39.5131,9.7,84,15,4.88,RU,1616138880
275,staryy nadym,65.6118,72.6842,10.47,93,100,14.36,RU,1616138881
276,luderitz,-26.6481,15.1594,67.12,54,14,16.02,NA,1616138881
277,turukhansk,65.8167,87.9833,12.13,92,100,8.52,RU,1616138882
278,taoudenni,22.6783,-3.9836,69.69,17,0,10.13,ML,1616138882
279,bacolod,10.6667,122.95,86.65,67,12,13.13,PH,1616138882
280,redlands,34.0556,-117.1825,55.99,62,1,0.45,US,1616138670
281,kutum,14.2,24.6667,81.57,16,51,17.34,SD,1616138710
282,huarmey,-10.0681,-78.1522,70.97,78,100,5.57,PE,1616138883
283,iqaluit,63.7506,-68.5145,-23.8,69,1,13.8,CA,1616138884
284,puri,19.8,85.85,96.8,23,20,8.05,IN,1616138884
285,ambon,-3.6954,128.1814,86,70,40,4.61,ID,1616138885
286,sitka,57.0531,-135.33,33.8,69,75,5.75,US,1616138885
287,yenagoa,4.9247,6.2642,77.49,88,100,1.63,NG,1616138885
288,jocotan,14.8167,-89.3833,68.61,92,16,2.33,GT,1616138886
289,pangnirtung,66.1451,-65.7125,-17.73,73,0,2.86,CA,1616138886
290,mottola,40.6353,17.0353,48.99,100,0,2.3,IT,1616138887
291,shellbrook,53.2168,-106.4011,21.2,100,1,4.61,CA,1616138887
292,pumiao,22.75,108.4833,84.2,61,40,11.18,CN,1616138888
293,flin flon,54.7682,-101.865,28,91,0,5.86,CA,1616138888
296,lac du bonnet,50.2536,-96.0612,37,99,0,5.01,CA,1616138889
297,russkaya polyana,49.417,31.9201,33.46,95,100,2.8,UA,1616138889
298,manokwari,-0.8667,134.0833,80.31,79,39,1.81,ID,1616138890
299,san policarpo,12.1791,125.5072,84.7,68,14,7.78,PH,1616138890
300,ancud,-41.8697,-73.8203,48,100,0,3.44,CL,1616138891
301,sharjah,25.3573,55.4033,96.8,10,0,4.61,AE,1616138594
302,buala,-8.145,159.5921,82.6,75,57,1.5,SB,1616138891
303,lethem,3.3803,-59.7968,75.22,73,100,12.35,GY,1616138892
304,dekar,-21.5333,21.9333,77.34,51,1,9.53,BW,1616138892
305,quang ngai,15.1167,108.8,83.68,68,0,9.08,VN,1616138892
307,sikar,27.6167,75.15,90.46,16,6,6.22,IN,1616138893
308,morant bay,17.8815,-76.4093,75.2,83,20,5.75,JM,1616138893
310,jinxi,30.4323,116.2922,59.36,73,65,6.93,CN,1616138894
311,qasigiannguit,68.8193,-51.1922,15.8,53,20,19.57,GL,1616138895
312,olavarria,-36.8927,-60.3225,52,78,59,3.44,AR,1616138895
314,galveston,29.3669,-94.9669,59,51,1,19.57,US,1616138896
315,mayo,38.8876,-76.5119,46.4,76,90,19.57,US,1616138896
316,tateyama,34.9833,139.8667,64,67,75,10.36,JP,1616138896
317,cherskiy,68.75,161.3,-22.99,98,0,4.83,RU,1616138897
318,sao joao da barra,-21.6403,-41.0511,74.66,88,97,11.59,BR,1616138897
319,huaihua,27.5494,109.9592,47.25,88,100,5.32,CN,1616138898
320,tilichiki,60.4667,166.1,4.35,93,100,8.9,RU,1616138898
321,plast,54.3691,60.8136,25.43,94,100,10.04,RU,1616138899
322,pandan,14.0453,124.1694,84.54,69,41,9.95,PH,1616138899
323,aykhal,66,111.5,-3.46,88,71,7.25,RU,1616138883
324,nanortalik,60.1432,-45.2371,24.84,76,44,3.44,GL,1616138900
325,kavaratti,10.5669,72.642,84.04,65,48,7.38,IN,1616138900
326,deputatskiy,69.3,139.9,-17.45,95,100,5.14,RU,1616138900
327,soure,-0.7167,-48.5233,75.25,90,100,7.47,BR,1616138901
328,franklin park,41.9353,-87.8656,37.99,69,20,14.97,US,1616138901
329,nelson bay,-32.7167,152.15,69.8,94,40,10.36,AU,1616138902
330,tomatlan,19.9333,-105.25,61.09,77,0,3.22,MX,1616138902
331,orange,33.7,-117.7675,52,83,0,2.68,US,1616138903
332,sioux lookout,50.1001,-91.917,32,40,1,5.75,CA,1616138903
333,mezen,65.8522,44.24,3.04,93,31,5.75,RU,1616138903
334,pangkalanbuun,-2.6833,111.6167,93.15,48,87,3.67,ID,1616138904
335,kabalo,-6.05,26.9167,77.32,85,30,3.04,CD,1616138904
336,oranjemund,-28.55,16.4333,63.61,72,0,16.37,NA,1616138905
337,mananara,-16.1667,49.7667,81.54,79,63,5.41,MG,1616138905
338,belmonte,-15.8631,-38.8828,73.4,94,40,2.3,BR,1616138906
339,kirkenaer,60.4564,12.0582,30.2,55,0,3.44,NO,1616138906
341,bitkine,11.9801,18.2138,91.65,27,94,8.39,TD,1616138907
342,ryotsu,38.0833,138.4333,48.2,66,40,11.5,JP,1616138907
343,sisimiut,66.9395,-53.6735,15.3,85,100,18.95,GL,1616138907
344,hasaki,35.7333,140.8333,59,62,75,13.8,JP,1616138908
345,raudeberg,61.9875,5.1352,39,95,5,8.5,NO,1616138908
346,gainesville,29.6516,-82.3248,61,82,1,10.36,US,1616138847
347,pahrump,36.2083,-115.9839,57,43,1,5.75,US,1616138909
348,abu kamal,34.4506,40.9171,61.02,50,73,11.34,SY,1616138909
349,chernyshevskiy,63.0128,112.4714,20.01,86,100,13.18,RU,1616138910
350,san quintin,30.4833,-115.95,55.67,87,0,9.93,MX,1616138910
351,jucuaran,13.2539,-88.2478,68.45,81,99,0.83,SV,1616138910
352,komsomolskiy,40.4272,71.7189,59,38,100,2.3,UZ,1616138911
354,goderich,43.7501,-81.7165,26.6,54,0,11.5,CA,1616138912
355,ketchikan,55.3422,-131.6461,35.6,100,90,3.44,US,1616138912
356,atkarsk,51.8718,45.0078,26.1,94,100,9.37,RU,1616138912
